"id","list","added_date","added_by","threat_type","notes"
1,"101nitro.com
1111sale.us
15dfjkbvdf.club
17ebook.com
1month-premium.com
1nitro.club
1ownandfresh1.com
1payxperxinst1.com
1redirb.com
1ts11.top
1tvv.ru
1wat.ru
2012-drakon.ru
2012-god.ru
2015-god-kozy.ru
324,bnewsblite.me,"2025-05-23 15:57:04",system,malicious,
325,bnmu.xyz,"2025-05-23 15:57:04",system,malicious,
326,board-nitro.com,"2025-05-23 15:57:04",system,malicious,
327,bonbonijezero.xyz,"2025-05-23 15:57:04",system,malicious,
328,bondikflas.xyz,"2025-05-23 15:57:04",system,malicious,
329,bookgr8.com,"2025-05-23 15:57:04",system,malicious,
330,boost-discord.com,"2025-05-23 15:57:04",system,malicious,
331,boost-nitro.com,"2025-05-23 15:57:04",system,malicious,
332,boost-nitro.shop,"2025-05-23 15:57:04",system,malicious,
333,boost.ink,"2025-05-23 15:57:04",system,malicious,
334,boostdiscorcl.shop,"2025-05-23 15:57:04",system,malicious,
335,boosted-nitro.com,"2025-05-23 15:57:04",system,malicious,
336,boostnitro.co,"2025-05-23 15:57:04",system,malicious,
337,boostnitro.com,"2025-05-23 15:57:04",system,malicious,
338,boostnitro.shop,"2025-05-23 15:57:04",system,malicious,
339,boostnitro.xyz,"2025-05-23 15:57:04",system,malicious,
340,boostnitrogift.com,"2025-05-23 15:57:04",system,malicious,
341,boostnltro.com,"2025-05-23 15:57:04",system,malicious,
342,boosts-nitro.com,"2025-05-23 15:57:04",system,malicious,
343,boosts-nitro.shop,"2025-05-23 15:57:04",system,malicious,
344,boostsgiftnitro.shop,"2025-05-23 15:57:04",system,malicious,
345,boostsnitro.shop,"2025-05-23 15:57:04",system,malicious,
346,boot-upcompletely-bestspeedyfile.best,"2025-05-23 15:57:04",system,malicious,
347,bot-developers.com,"2025-05-23 15:57:04",system,malicious,
348,bot-intents.dev,"2025-05-23 15:57:04",system,malicious,
349,botapp-discord.com,"2025-05-23 15:57:04",system,malicious,
350,boxgolg.club,"2025-05-23 15:57:04",system,malicious,
351,bpwhamburgorchardpark.org,"2025-05-23 15:57:04",system,malicious,
352,bqyvip.cn,"2025-05-23 15:57:04",system,malicious,
353,bramtrad.com,"2025-05-23 15:57:04",system,malicious,
354,breefingteam.com,"2025-05-23 15:57:04",system,malicious,
355,bro4.biz,"2025-05-23 15:57:04",system,malicious,
356,bronsky.kiev,"2025-05-23 15:57:04",system,malicious,
357,btcbolex.com,"2025-05-23 15:57:04",system,malicious,
358,btcclicks.com,"2025-05-23 15:57:04",system,malicious,
359,btconline.io,"2025-05-23 15:57:04",system,malicious,
360,btcpool.io,"2025-05-23 15:57:04",system,malicious,
361,btnativenav.com,"2025-05-23 15:57:04",system,malicious,
362,bucks.as,"2025-05-23 15:57:04",system,malicious,
363,buddygays.com,"2025-05-23 15:57:04",system,malicious,
364,but-three.xyz,"2025-05-23 15:57:04",system,malicious,
365,buxquick.com,"2025-05-23 15:57:04",system,malicious,
366,buy-nitro.xyz,"2025-05-23 15:57:04",system,malicious,
367,bycdu.cam,"2025-05-23 15:57:04",system,malicious,
368,bycsdu.cam,"2025-05-23 15:57:04",system,malicious,
369,bysellers.xyz,"2025-05-23 15:57:04",system,malicious,
370,captcha-smart.top,"2025-05-23 15:57:04",system,malicious,
371,captcharesolving-universe.com,"2025-05-23 15:57:04",system,malicious,
372,capultytrese.xyz,"2025-05-23 15:57:04",system,malicious,
373,careers.ua,"2025-05-23 15:57:04",system,malicious,
374,case-gift.com,"2025-05-23 15:57:04",system,malicious,
375,case-give.com,"2025-05-23 15:57:04",system,malicious,
376,case-magic.space,"2025-05-23 15:57:04",system,malicious,
377,casekey.ru.com,"2025-05-23 15:57:04",system,malicious,
378,casesdrop.xyz,"2025-05-23 15:57:04",system,malicious,
379,cash.org.ru,"2025-05-23 15:57:04",system,malicious,
380,cash.pp.ru,"2025-05-23 15:57:04",system,malicious,
381,cashcsgo.ru,"2025-05-23 15:57:04",system,malicious,
382,cashout.monster,"2025-05-23 15:57:04",system,malicious,
383,cashy.monster,"2025-05-23 15:57:04",system,malicious,
384,catbeardx.com,"2025-05-23 15:57:04",system,malicious,
385,catsnthing.com,"2025-05-23 15:57:04",system,malicious,
386,catsnthings.fun,"2025-05-23 15:57:04",system,malicious,
387,cave-nitro.com,"2025-05-23 15:57:04",system,malicious,
388,cd-dvd-brennen.de,"2025-05-23 15:57:04",system,malicious,
389,cdn.dicsord.uk,"2025-05-23 15:57:04",system,malicious,
390,ceesty.com,"2025-05-23 15:57:04",system,malicious,
391,centralheat.me,"2025-05-23 15:57:04",system,malicious,
392,centralheat.net,"2025-05-23 15:57:04",system,malicious,
393,ceters.net,"2025-05-23 15:57:04",system,malicious,
394,cfxxfwzx.com,"2025-05-23 15:57:04",system,malicious,
395,cgdc.ct8.pl,"2025-05-23 15:57:04",system,malicious,
396,checkingnotifications.org,"2025-05-23 15:57:04",system,malicious,
397,checkup08.biz,"2025-05-23 15:57:04",system,malicious,
398,chestuwygli.com,"2025-05-23 15:57:04",system,malicious,
399,chintsressels.com,"2025-05-23 15:57:04",system,malicious,
400,christmasdiscord.gift,"2025-05-23 15:57:04",system,malicious,
401,christmasdiscord.gifts,"2025-05-23 15:57:04",system,malicious,
402,ckre.net,"2025-05-23 15:57:04",system,malicious,
403,claim-your-nitro.com,"2025-05-23 15:57:04",system,malicious,
404,claim.discordchristmas.com,"2025-05-23 15:57:04",system,malicious,
405,claim.robuxat.com,"2025-05-23 15:57:04",system,malicious,
406,claimgifts.shop,"2025-05-23 15:57:04",system,malicious,
407,claimnitro.me,"2025-05-23 15:57:04",system,malicious,
408,claims-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
